时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,动态结算价
2024-08-28,13910,13930,13820,13845,109378,78508,,,,13801.0,13749.5,13807.75,13931.083333333334,13807.116387519527,146.78571428571428,52.093023255813954,-36.887277735097086,-60.78027525810455,23.892997523007466,14119.3414160023,13496.1585839977,13807.75,623.1828320046006,77.23781277872887,66.91935315322414,97.87473202973831,-19.54022988505747,17.814441448878057,100.0,123625.8,999917,110631.85,-13181.0,-14.375770266880428,
2024-08-29,13840,13885,13800,13865,102658,65575,,,,13832.0,13774.0,13795.75,13925.416666666666,13812.629112517669,143.21428571428572,52.093023255813954,-28.178309319559048,-54.25988207039545,26.0815727508364,14076.055754114104,13515.444245885896,13795.75,560.6115082282085,78.5450152824376,70.79457386296195,94.04589812138892,-14.942528735632184,19.289441240851723,100.0,121612.25,1102575,109516.45,-12933.0,-16.473480409639784,
2024-08-30,13865,13930,13835,13860,83259,61144,,,,13858.0,13794.5,13783.0,13919.25,13817.140625611224,133.21428571428572,56.56565656565656,-21.432783531665336,-47.694462362649425,26.26167883098409,14022.371985345872,13543.628014654128,13783.0,478.743970691743,77.65069984346415,73.07994918979603,86.7922011508004,-16.091954022988507,36.134763097316394,100.0,118991.75,1019316,108470.95,-4431.0,-6.757148303469307,
2024-09-02,13840,13860,13555,13555,132923,64506,,,,13807.0,13776.5,13757.5,13907.833333333334,13792.17485174349,143.92857142857142,45.16129032258065,-40.23406351514859,-46.20238259314927,5.968319078000675,13978.323816411954,13536.676183588046,13757.5,441.64763282390777,51.76713322897611,65.97567720285605,23.35004528121624,-86.20689655172414,-54.11469305594129,63.03449108301398,119237.75,886393,107840.3,3362.0,5.4984953552269955,
2024-09-03,13585,13605,13525,13530,70595,58306,,,,13731.0,13764.0,13739.0,13898.333333333334,13767.20581824411,137.5,48.484848484848484,-56.50020522853265,-48.26194712022594,-8.23825810830671,13971.256663832795,13506.743336167205,13739.0,464.5133276655906,34.922944786395604,55.624766397369235,-6.480698435551659,-91.95402298850574,-93.48961789484375,73.80729653882133,115781.65,815798,107328.7,-6200.0,-9.611509006914087,
2024-09-04,13510,13530,13405,13430,69805,47725,,,,13648.0,13724.5,13716.25,13886.833333333334,13735.090978411337,132.5,42.08333333333333,-76.57766434609948,-53.92509056540065,-22.65257378069883,13975.822016170754,13456.677983829246,13716.25,519.1440323415081,24.869264778231994,45.37293252432349,-16.138070713950995,-95.23809523809524,-116.19485687033148,53.05776426566883,114807.8,745993,106654.35,-10581.0,-18.147360477480877,
2024-09-05,13420,13565,13400,13480,132766,164363,,,,13571.0,13701.5,13700.25,13879.166666666666,13710.796599515019,138.57142857142858,42.79835390946502,-87.44658343426636,-60.629389139173796,-26.817194295092563,13976.969029075766,13423.530970924234,13700.25,553.4380581515325,21.610956393035167,37.45227381389405,-10.071678448682604,-84.90566037735849,-90.26033639423845,55.37539410317707,118238.5,878759,112031.85,116638.0,244.39601885804086,
2024-09-06,13490,13530,13420,13465,108984,173475,,,,13492.0,13675.0,13682.5,13871.416666666666,13687.387399561208,131.78571428571428,38.26086956521739,-96.16215726762493,-67.73594276486403,-28.4262145027609,13972.11862400133,13392.88137599867,13682.5,579.2372480026606,18.495354576488854,31.133300734758986,-6.7805377400514075,-87.73584905660377,-82.40966463412,40.66783259446048,119853.25,769775,118140.0,9112.0,5.5438267736656055,
2024-09-09,13475,13480,13150,13275,167298,180776,,,,13436.0,13621.5,13659.75,13862.0,13648.112409126807,146.78571428571428,34.920634920634924,-117.05142842176429,-77.59903989624408,-39.452388525520206,14000.607664382693,13318.892335617307,13659.75,681.7153287653855,17.672116726206244,26.64623939857474,-0.2761286185307412,-83.97435897435898,-116.3262441561722,11.889097744360921,120421.25,602477,120185.1,7301.0,4.2086756016717075,
2024-09-10,13250,13295,13200,13235,87014,183078,,,,13377.0,13554.0,13637.75,13852.166666666666,13608.76837016235,141.07142857142858,23.893805309734503,-135.2746302841624,-89.13415797382775,-46.14047231033466,14027.722671107258,13247.777328892742,13637.75,779.9453422145161,15.413889783282796,22.902122860144093,0.4374236295602003,-89.1025641025641,-109.5481636538723,0.0,116783.65,515463,121860.45,2302.0,1.2733991237774855,
